S.No,"Part No","Part Name"
1256,"BRX 8502","B Logo Front Door Small 2.5F"
1257,"BRX 7902","Logo Front Door 3F Assy"
1258,"BRX 8503","Side Door Front LHS 3.5F"
1259,"BRX 8507","Door Support Front LHS 3.5F"
1260,"BRX 8504","Side Door Front RHS 3.5F"
1261,"BRX 8508","Door Support Front RHS 3.5F"
1262,"BRX 8505","Side Door Back LHS 3.5F"
1263,"BRX 8509","Door Support Back LHS 3.5F"
1264,"BRX 8506","Side Door Back RHS"
1265,"BRX 8510","Door Support Back RHS 3.5F"
1266,"BRX 8001","Front Frame Plate RH 3.5F"
1267,"BRX 8002","FRONT FRAME PLATE LH 3.5F"
1268,"BRX 8005","Supporting Plate RH 3.5F"
1269,"BRX 8013","Front Tighter Support Plate RH 3.5F"
1270,"BRX 8007","Wheel Base Plate RH 3.5F"
1271,"BRX 8006","Suppporting Plate LH 3.5F"
1272,"BRX 8014","Front Tighter Support Plate RH 3.5F"
1273,"BRX 8008","Wheel Base Plate LH 3.5F"
1274,"BRX 8009","Wheel Base Suppporting Plate RH 3.5F"
1275,"BRX 8010","Wheel Base Supporting Plate LH 3.5F"
1276,"BRX 8003","Back Frame Plate RH 3.5F"
1277,"BRX 8004","Back Frame Plate LH 3.5F"
1278,"BRX 8011","Center Open Join Plate RH 3.5F"
1279,"BRX 8012","Center Open Join Plate LH 3.5F"
1280,"BR 8095","Back Door Hydraulic Bed Plate"
1281,"BRX 8515","Z Cover 3.5F Assy"
1282,"CAT 3.0","Reverse Forward Rotavetor"
1283,"CC 1001","Crop Inlet Tray"
1284,"CC 1025",Cover
1285,"CC 1101","Outlet Sheild"
1286,"CC 1102","Outlet Chaff Holder"
1287,"CC 1103","Main Cover Big"
1288,"CC 1104",Blade
1289,"CC 1105","Blade Mate"
1290,"CC 1106","Spring Clamping Pin"
1291,"CC 1107","Straw Chomb A"
1292,"CC 1108","Straw Chomb B"
1293,"CC 1109","Chomb B Clamp"
1294,"CC 1110","Adjuster Square Rod"
1295,"CC 1111","Roller Adjuster Clamp"
1296,"CC 1112","Roller A"
1297,"CC 1113","Roller B"
1298,"CC 1114","Roller Shaft A"
1299,"CC 1115","Roller Shaft B"
1300,"CC 1116","Roller Cup Clamp"
1301,"CC 1117","Roller Washer"
1302,"CC 1118","Belt Pulley"
1303,"CC 1119","Gear Wheel Big"
1304,"CC 1121","Gear (Transmission)"
1305,"CC 1122","Gear Wheel Small"
1306,"CC 1123","Motor Pulley"
1307,"CC 1124","Motor Adj Clamp A"
1308,"CC 1125","Motor Adj Clamp (B)"
1309,"CC 1126","O.C Holder Support"
1310,"CC 1127","Upper Frame Support A"
1311,"CC 1128","Upper Frame Support B"
1312,"CC 1129","Double Hole Door Joint"
1313,"CC 1130","L Angle Big"
1314,"CC 1201","Blade Assy"
1315,"CC 1202","Frame Assy"
1316,"CC 1203","Side Frame Assy"
1317,"CC 1204","Side Door Assy"
1318,"CC 1205","Straw Inlet Assy"
1319,"CCP 1978","Belt Pulley 3"" x 1B"
1320,"CC 4022","Reel Spacer Bush"
1321,"CC 6006","Cover Clamp"
1322,"CC 8101","Chaff Cutter Main Door"
1323,"CC 8103","Main Cover Small"
1324,"CC 8104","Inlet Teeth Shield"
1325,"CC 8105","Inlet Chaff Holder"
1326,"CC 8106","Inter Holder Clamp"
1327,"CC 8107","CC Hook"
1328,"CC 8108","Main Side Wall"
1329,"CC 8109","Mani Wall Support"
1330,"CC 8110","Wall Rib"
1331,"CC 8111","Cutter Square Shaft"
1332,"CC 8112","Angle Plate Big"
1333,"CC 8113","Angle Plate Small"
1334,"CC 8114","Blade Clamp"
1335,"CC 8115","Main Wall Support B"
1336,"CC 8116","Tapper Clamp"
1337,"CC 8117","6004 Bearing Cup"
1338,"CC 8118","Roller Adj Clamp Pin"
1339,"CC 8119","Transmission Pin"
1340,"CC 8120","Collector Side Rib"
1341,"CC 8121","Door Rib"
1342,"CC 8432","Cam Plate Bush"
1343,"CC Gear","10x5 Keyway"
1344,"CCP 8433","2HP Motor 1PH 1440RPM"
1345,"Chain Wheel","10x5 Keyway"
1346,"CS 1003","Top Outlrt Assy"
1347,"CS 1006","Cutting Wheel Assy"
1348,"CS 1007","Big Pulley Assy"
1349,"CS 2002","Mother Blade"
1350,"CS 2003","Cutting Wheel Shaft"
1351,"CS 2005","Cutting Blade"
1352,"CS 2006","Centre Plate Support Blade"
1353,"CS 2008","35mm Bush"
1354,"CS 2009","37mm Bush"
1355,"CS 2012","Big Pulley Shaft"
1356,"CS 2012","Big Pulley Shaft  (Dia52mm x 520mm)"
1357,"CS 2014","Top Link Patta 2"
1358,"CS 2018","Pulverizer Patta"
1359,"CS 8020","Cutting Wheel Front1"
1360,"CS 8021","Cutting Wheel Front 2"
1361,"CS 8023","Cutting Wheel Back Plate"
1362,"CS 8061","Step Bush"
1363,"CS 8062","Cutting Blade Square Piece
"
1364,"Cutter Frame","Wmt
"
1365,"Door Top","Cover LH 3.5F"
1366,"Door Top","Cover RH 3.5F"
1367,"Drill Bit",3.9mm
1368,"ECC 1000","Chaff Cutter Frame Wmt"
1369,"ECC 8101","Front Frame Plate"
1370,"ECC 8102","RH Side Plate"
1371,"ECC 8103","LH Side Plate"
1372,"ECC 8104","Separator Plate A"
1373,"ECC 8105","Separator Plate B"
1374,"ECC 8106","Separator Plate C"
1375,"ECC 8107","Frame Gap Plate"
1376,"ECC 8108","Gear Frame Rib"
1377,"ECC 8109","Oil Sump"
1378,"ECC 8110","Feeder Rib"
1379,"ECC 8111","Feeder Rib"
1380,"ECC 8112","Inlet Tray Holder"
1381,"ECC 8113","Adj Cup Holder Pin"
1382,"ECC 8114","Spring Holder Pin"
1383,"ECC 1001","Crop Inlet Tray Wmt
"
1384,"ECC 1003","205 Cup Waser"
1385,"ECC 1004","Top Cover"
1386,"ECC 1005","Side Cover"
1387,"ECC 1006","Feeder Plate"
1388,"ECC 1007","Top Full Cover"
1389,"ECC 1008","Full Cover Stand"
1390,"ECC 1009","Bottom Slope Cover"
1391,"ECC 2001","Adjuster Cup LH"
1392,"ECC 2002","adjuster cup RH"
1393,"ECC 3003","Blade Pully Shaft
"
1394,"ECC 5001","Main Stand Wmt
"
1395,"ECC 5002","Top Frame Main Stand"
1396,"ECC 5003","Frame Leg  A LH & RH"
1397,"ECC 5004","Frame Leg B LH & RH"
1398,"ECC 5005","Support Angle Big"
1399,"ECC 5006","Support Angle Small"
1400,"ECC 5007","Leg Support"
1401,"ECC 5008","Stand Guard"
1402,"ECC 5009","Motor Holder Plate"
1403,"ECC 6001","Blade Cover Set
"
1404,"ECC 6002","Blade Cover Set A"
1405,"ECC 6006","Cover Clamp D"
1406,"ECC 8008","Mesh A"
1407,"FC 1001","Gear Box Housing"
1408,"FC 1002","Gear Box PTO Cover"
1409,"FC 1003","Bevel Big"
1410,"FC 1004","Bevel Small"
1411,"FC 1005","PTO Shaft"
1412,"FC 1006","A Gear Shaft Jagdeo Type"
1413,"FC 1006","Gear Shaft"
1414,"FC 1007","Dummy Flange (RH)"
1415,"FC 1008","Drive Flange (LH)"
1416,"FC 1011","32210 Bearing"
1417,"FC 1012","30207 Bearing"
1418,"FC 1013","6210 Bearing"
1419,"FC 1014","6306 Bearing"
1420,"FC 1440","Cam Roller"
1421,"FC 2000","Cutter Base Frame
"
1422,"FC 2001","Bearing Adjuster Plate"
1423,"FC 2002A","Hinch Link RH"
1424,"FC 2002B","Hinch Link LH"
1425,"FC 2002","Hinge Link A
"
1426,"FC 2003hinch","Link B"
1427,"FC 2004","Hand Pin"
1428,"FC 2006","SQUARE TUBE BLADE CUP"
1429,"FC 2007","Clutch Shaft Bush"
1430,"FC 2100",Hand
1431,"FC 2101","Bearing P 207"
1432,"FC 2102","Bearing F 207"
1433,"FC 2103","Bearing F 206"
1434,"FC 2104","Bearing 32208"
1435,"FC 2105","Bearing 6204"
1436,"FC 2106","Oil Seal 45x62x10"
1437,"FC 2107","Top Link Patta"
1438,"FC 26T","Sprocket - Double Sprocket Clutch"
1439,"FC 3000","Clutch Assy Set"
1440,"FC 3001A","Front Balde Frame Assembly"
1441,"FC 3001B","Front Blade Frame Assembly"
1442,"FC 3002","Front Blade Cam Assembly"
1443,"FC 3003A","Front Blade Cam Assembly"
1444,"FC 3003B","Cam Guider Assembly"
1445,"FC 3003","Cam Guider Assembly"
1446,"FC 3004","Blade Holder Patta"
1447,"FC 3005",Blade
1448,"FC 3006","Square Rod"
1449,"FC 3007","Blade Guider Assembly"
1450,"FC 3008A","Cam Cover Plate A"
1451,"FC 3008B","Cam Cover Plarte A"
1452,"FC 3009A","Cam Cover Plate B"
1453,"FC 3009B","Cam Cover Plate B"
1454,"FC 3010A","Cam Cover Plate C"
1455,"FC 3010B","Cam Cover Plate C"
1456,"FC 3011","A Cam Cover Plate D"
1457,"FC 3011B","Cam Cover Plate D"
1458,"FC 3012","Cam Cover Plate E"
1459,"FC 3013","6205 Beraing"
1460,"FC 3013",Tine
1461,"FC 3014","Aller Frame"
1462,"FC 3014","Reel Gaurd Clamp"
1463,"FC 3014","Tine Pipe"
1464,"FC 3015","Front Blade Cover Clamp"
1465,"FC 3016A","Front Blade Cover"
1466,"FC 3016B","Front Blade Cover"
1467,"FC 3016","B Front Blade Cover RH"
1468,"FC 3016","Connecting Shaft"
1469,"FC 3017A","Reel Guard"
1470,"FC 3017","A Reel Guard A LH"
1471,"FC 3017B","Reel Guard"
1472,"FC 3017","B Reel Guard RH"
1473,"FC 4001","Reel Frame Assembly"
1474,"FC 4002","Nylon Bush - Reel Pipe"
1475,"FC 4003","Nylon Bush Clamp"
1476,"FC 4004","Tine Pipe Assembly"
1477,"FC 4005","End Pipe Assembly"
1478,"FC 4006","Cam Plate Assembly"
1479,"FC 4007","Cam Nylon Bush"
1480,"FC 4008","Tine - Reel"
1481,"FC 4009","Reel Holder RH"
1482,"FC 4010","Reel Holder LH"
1483,"FC 4011","Reel Holder Nylon Bush RH"
1484,"FC 4012","Reel Holder Nylon Bush LH"
1485,"FC 4013","Cam Roller Adjuster Plate"
1486,"FC 4014","Reel Square Tube RH-(40-40)"
1487,"FC 4015","Reel Square Tube LH(40-40)"
1488,"FC 4016A","Reel Adjuster Plate A (LH)"
1489,"FC 4016B","Reel Adjuster Plate A(RH)"
1490,"FC 4017A","Reel Adjuster Plate B (LH)"
1491,"FC 4017B","Reel Adjuster Plate B(RH)"
1492,"FC 4018","Stopper - Squarw Tube"
1493,"FC 4019","Front Balde Chain Adjuster Plate"
1494,"FC 4020","Cam Roller"
1495,"FC 4021","Cam Roller Pin"
1496,"FC 4022","Reel Spacer Bush"
1497,"FC 4023","Reel Holder RH"
1498,"FC 4024","Reel Holder LH"
1499,"FC 4025","Reel Idler  Guard"
1500,"FC 5000","Feed Auger"
1501,"FC 5001","Auger Drum Assembly"
1502,"FC 5002","Auger Support Plate A"
1503,"FC 5003","Auger Support Plate B"
1504,"FC 5004","Drum Cover"
1505,"FC 5005","Holder Plate - Auger Drum"
1506,"FC 5006","Adjuster Plate A - Auger Drum"
1507,"FC 5007","Adjuster Plate B - Auger Drum"
1508,"FC 5008","Drive Shaft - Feed Auger"
1509,"FC 5009","Idler Shaft - Feed Auger"
1510,"FC 5011","Drum Guard (LH&RH)"
1511,"FC 5012","A Feeder Shaft"
1512,"FC 5015","Feeder Tine Bar"
1513,"FC 6001","32T Sprocket Assembly"
1514,"FC 6002","26T Sprocket Assembly - Feeder Shaft"
1515,"FC 6003","1 Sprocket Clutch Shaft Assembly"
1516,"FC 6004","18T Sprocket - Cam Shaft"
1517,"FC 6005","Wobble Shaft Assembly"
1518,"FC 6007","Reaper Arm Transmission Shaft"
1519,"FC 6009","Link Plate - Reaper Arm"
1520,"FC 6010","Spacer Bush A"
1521,"FC 6011","Spacer Bush B"
1522,"FC 6013","Blade Holder Plate - Reaper Assembly"
1523,"FC 6015",Finger
1524,"FC 6016","Holder Plate - Finger"
1525,"FC 6017","Feed Auger Sprocket"
1526,"FC 6018","Reel Sprocket RH"
1527,"FC 6020","Double Sprocket Clutch Shaft"
1528,"FC 6022","Blade Clamp"
1529,"FC 6023","Cam Cover"
1530,"FC 6102","Clutch Flange - Single Sprocket"
1531,"FC 6103","Clutch Lock Plate - Single Sprocket"
1532,"FC 6104","32T Sprocket - Single Sprocket Clutch"
1533,"FC 6201","Double Sprocket Clutch Assembly"
1534,"FC 6202","Clutch Flange - Double Sprocket"
1535,"FC 6203","Clutch Lock Plate - Double Sprocket"
1536,"FC 6204","Clutch Shaft Bush"
1537,"FC 6205","Feeder 9T Sprocket"
1538,"FC 6206","Feeder Shaft A (866mm)"
1539,"FC 6207","Feeder Shaft B (802mm)"
1540,"FC 8013","Bush Clamp"
1541,"FC 8101","Housing Flange"
1542,"FC 8102","Gear Flange  Pipe"
1543,"FC 8103","Drive Side Flange"
1544,"FC 8104","Dummy Flange"
1545,"FC 8114","Spring Holding Pin"
1546,"FC 8201","Base Drum"
1547,"FC 8203","Side Plate RH"
1548,"FC 8221","Hand Pivot Bush"
1549,"FC 8226A","Gusset Strip A (LH)"
1550,"FC 8226B","Gusset Strip A (RH)"
1551,"FC 8227","Gusset Strip B"
1552,"FC 8228","Gusset Strip C"
1553,"FC 8303","Rolling Bush"
1554,"FC 8311","Front Blade Shaft"
1555,"FC 8313","Bearing Pin"
1556,"FC 8321","Cam Guider"
1557,"FC 8331","Blade Guider"
1558,"FC 8401","Reel Pipe (38-48)"
1559,"FC 8403","Reel Frame Support Ring"
1560,"FC 8406","Reel Drive Shaft"
1561,"FC 8407","Reel Idler Shaft"
1562,"FC 8413","Cam Pin"
1563,"FC 8432","Cam Plate Bush"
1564,"FC 8441","Holder Pipe - Reel"
1565,"FC 8453","Sq Tube Bush"
1566,"FC 8501","Auger Drum"
1567,"FC 8504","Auger Plate"
1568,"FC 8508","Agur Drum Plate Patta"
1569,"FC 8512","Round Plate Bush A"
1570,"FC 8513","Round Plate Bush B"
1571,"FC 8601","18T Coupling Bush 13T Splines"
1572,"FC 8601","32T Sprocket Bush"
1573,"FC 8603","32 T Sprocket"
1574,"FC 8611","26T Sprocket Bush - Feeder Shaft"
1575,"FC 8621","1 Sprocket Clutch Shaft"
1576,"FC 8631","Cam Pin - Wobble Shaft"
1577,"FC 8632","Cam Pin Shaft"
1578,"FC 8633","18T Sprocket - Wobble Shaft"
1579,"FC 8642","Transmision Shaft - Reaper Arm"
1580,"FC 8651","Feed Auger Sprocket Bush"
1581,"FC 8652","26T Sprocket - Feed Auger"
1582,"FC 8661","Reel Sprocket RH Bush"
1583,"FC 8662","18T Sprocket - Reel"
1584,"FC 8663","45T Sprocket - Reel"
1585,"FC 8665","Front Blader 13 Teeth"
1586,"FC 8671","Clutch Flange - Double Sprocket"
1587,"FC 8672","18T Sprocket - Double Sprocket Clutch"
1588,"FC 8687",Kuppa
1589,"FC 8865","Front Blade Sprocket Bush"
1590,"FC 9000","Rolling and Bending"
1591,"H 3002","Main Centre Plate"
1592,"HR 8102","Main Centre Plate Big"
1593,"HR 8101","Main Centre Plate Small"
1594,"Hardening Materials",
1595,"HR 1101","LR5201 NPPU"
1596,"HR 1105","Bevel Gear Big"
1597,"HR 1107","Pinion Shaft"
1598,"HR 8149","Main Shaft"
1599,"HR 1108","Main Shaft Assy"
1600,"HR 1109","PTO Shaft"
1601,"HR 1110","Cam Centre Shaft"
1602,"HR 1111","Center Shaft Holder Bush"
1603,"HR 1112","Center Shaft Bush"
1604,"HR 1113","Hub Bush"
1605,"HR 1114","Adj Clamp Bend"
1606,"HR 1116","PTO Cover"
1607,"HR 1117","Hy Wheel Shaft"
1608,"HR 1118",Tine
1609,"HR 1123",Housing
1610,"HR 1124","Adj Clamp"
1611,"HR 1125",Cam
1612,"HR 1126","Centre Hub"
1613,"HR 1129","Tyre & Rim"
1614,"HR 1133","Tine Upper Clip"
1615,"HR 1134","Tine Lower Clip A"
1616,"HR 1135","Tine Lower Clip B"
1617,"HR 1140","FRONT STAND"
1618,"HR 3001","Rear Hand Frame"
1619,"HR 8109","Main Pipe Big"
1620,"HR 8108","Bevel Hub Mate Patta"
1621,"HR 8110","Main Pipe Gusset"
1622,"HR 8111","Hand Rib Big"
1623,"HR 8119","Main Hand"
1624,"HR 8129","Name Board Holder"
1625,"HR 8128","Top Link Patta"
1626,"HR 8120","Stay Pipe Clamp"
1627,"HR 8115","Hand Rib Cover"
1628,"HR 8117","Top A Link"
1629,"HR 8143","Front Name Plate Holder"
1630,"HR 8138","Top Name Plate for HR"
1631,"HR 8140","Mat Side Holder"
1632,"HR 8141","HR Hand Guasset 1"
1633,"HR 8142","HR Hand Guasset 2"
1634,"HR 8144","Wheel Pipe Main Guasset"
1635,"HR 3002","Main Center Plate"
1636,"HR 3003","Tine Pipe Holder"
1637,"HR 8103","Tine Pipe Clamp"
1638,"HR 8104","Tine Pipe Small"
1639,"HR 3004","Tine Pipe"
1640,"HR 8106","Tine Pipe Patta"
1641,"HR 8107","Tine Patta Pin"
1642,"HR 8105","Tine Pipe Big"
1643,"HR 3005","Tine Exhaust Holder"
1644,"HR 8127","Exhaust Slot Holder"
1645,"HR 8121","Stay Pipe Holder"
1646,"HR 3006A","Tine Exhaust Pipe"
1647,"HR 3006","Tine Exhaust Pipe"
1648,"HR 8134","Exhaust Edge Clamp A"
1649,"HR 3010","Hay Rack Mat Tighter Clamp"
1650,"HR 3007","Wheel Shaft"
1651,"HR 8124","Tyre Pipe Bush Big"
1652,"HR 8125","Tyre Bend Pipe"
1653,"HR 8147","Wheel Pipe Support Guasset"
1654,"HR 8150","Wheel Support Piece"
1655,"HR 3008","Mat Holder"
1656,"HR 3009","Mat Side Holder"
1657,"HR 8117","Tine Exhaust Holder"
1658,"HR 8122","Stay Pipe Welding"
1659,"HR 8135","Hay Rack Mat Clamp"
1660,"HR 8136","Hey Rack Mat Tight"
1661,"HR 8139","Mat Holder Piece"
1662,"ML 9152","Stand Pipe Washer"
1663,"HR 8201","Rear Hand Frame"
1664,"HR 8202","Main Centre Plate"
1665,"HR 8203","T.P. Holder Clamp"
1666,"HR 8204","Tine Pipe"
1667,"HR 8205","Tine Exhaust Holder"
1668,"HR 8206","Tine Exhaust Pipe"
1669,"HRP 1101","LR5201 NPPU"
1670,"HRP 1105","Bevel Gear EN353 OD260mm x 27mm"
1671,"HRP 1107","Pinion Shaft  EN353 OD56mm x 130mm"
1672,"HRP 1109","PTO Shaft EN8D OD40mm x 133mm"
1673,"HRP 1111","Center Shaft Holder Bush MS OD45mm x 43mm"
1674,"HRP 1112","Center Shaft Bush MS OD45mm x 20mm"
1675,"HRP 1113","Hub Bush MS OD80mm x 35mm"
1676,"HRP 1114","Adj Clamp Bend Rod MS OD16mmx 195m"
1677,"HRP 1116","PTO Cover MS OD90mm x 68mm"
1678,"HRP 1117","Hy Wheel Shaft MS OD30mm x 395mm"
1679,"HRP 1123",Housing
1680,"HRP 8107","Tine Patta Pin MS OD30mm x 57mm"
1681,"HRP 8124","Tyre Pipe Bush Big MS OD45mm x 73mm"
1682,"JSS 1321","M8 X 75MM"
1683,"Hydralic Assambly",212
1684,"Jaysan Green","(VT) PP Glossy (12-21 DP)"
1685,"Jaysan Name",Plate
1686,"Jaysan Orange","(VT) PP Glossy (12-21 DP)"
1687,"JBC 252","Banana Stem Chopper"
1688,"JBC 9127","Knife Plate Ring"
1689,"JFC 2000","Cutter Base Frame"
1690,"JFC 2100","Forage Crop  Cutter"
1691,"HR 1115","Adj Clamp Spring"
1692,"HR 1127","Towel Pin 8mm"
1693,"HR 1128","Bearing 6010-2rs1/C3"
1694,"HR 1119","Bearing 6208-2RSR"
1695,"HR 1120","Bearing 6206-2RS"
1696,"JHR 646","HAY RAKE"
1697,"JM 1001","2207E Bearing NTN"
1698,"JM 1002","22206E Bearing NTN"
1699,"JM 1003","5206ZZ Bearing NTN"
1700,"JM 1004","30209 Bearing NTN"
1701,"JRB 310","Round Baler 4G+ Its Parts and Accessories"
1702,"JRB 312","ROUND BALER"
1703,"JRB 312","Round Baler 4G+ Its Parts and Accessories"
1704,"JRB 312","Round Baler , Its Parts and Accessories"
1705,"JRF 2.5",Rotavator
1706,"JRP 163","Ridge Plaster"
1707,"JRT 134","Nano Rotary Tiller"
1708,"JRT 5000","Reverse Forward Rotavator Set"
1709,"JSH 500",Shredder
1710,"JSRT 253","Shift Rotary"
1711,"JSS 1099","Screw 4x15"
1712,"JSS 1201","M6 X 10MM"
1713,"JSS 1238","M6 X 10MM A"
1714,"JSS 1331","M8 X 125MM"
1715,"JSS 1416","M10 X 40MM"
1716,"JSS 1503","M12 X 25MM"
1717,"JSS 1514","M12 X 65MM"
1718,"JSS 1515","M12 X 70MM"
1719,"JSS 1519","M12 X 90MM"
1720,"JSS 1606","M14 X 35MM"
1721,"JSS 1609","M14 X 45MM"
1722,"JSS 1610","M14 X 50MM"
1723,"JSS 1620","M14 X 100MM"
1724,"JSS 1679","M14  SUNLOCK  NUT"
1725,"JSS 1680","M14 Spring Waser"
1726,"JSS 1703","M16 X 30MM"
1727,"JSS 1707","M16 X 40MM"
1728,"JSS 1708","M16 X 45MM"
1729,"JSS 1709","M16 X 50MM"
1730,"JSS 1726","M16 X 130MM"
1731,"JSS 1732","M16 X 160MM"
1732,"JSS 1798","M16 Spring Waser"
1733,"JSS 2011","M20 X 70MM"
1734,"JSS 2017","M20 X 100MM"
1735,"JSS 2019","M20 X 110MM"
1736,"JSS 2033","M20 X 180MM"
1737,"JSS 2035","M20 X 190MM"
1738,"JSS 3220","M16 X 110MM A"
1739,"JSS 3333","M10X16MM Gripscrew"
1740,"JSS 3342","M12X25MM Gripscrew"
1741,"M10 Welding",Nut
1742,"ML 1002","Gear Box Housing Flange Jagdeo Type"
1743,"ML 1003","3Gear Left Side  Pipe Assy JAGDEO TYPE 18B"
1744,"ML 1004","Pto Shaft Jagdeo Type"
1745,"ML 1007","Pinion Shaft Coupling Jagdeo Type"
1746,"ML 1008A","Pully Shaft Jagdeo Type 18B"
1747,"ML 1008","Gear Left Side Pipe Assy"
1748,"ML 1009","Bolt Patta"
1749,"ML 1009","Gear High Adjuster Jagdeo Type RH"
1750,"ML 1010","Gear Hight Adj Clamp Jagdeo Type"
1751,"ML 1011",Adjuster
1752,"ML 1012","Saw Plate Big 16B"
1753,"ML 1012","Saw Plate Big 18B"
1754,"ML 1012","Saw Plate Big 20B"
1755,"ML 1013","Saw Plate Small 16B"
1756,"ML 1013","Saw Plate Small 18B"
1757,"ML 1013","Saw Plate Small 20B"
1758,"ML 1019","PTO Cover"
1759,"ML 1019","Pto Cover Jagdeo Type"
1760,"ML 2000A","Mulching Frame 18B"
1761,"ML 2000","Mulching Frame 16B"
1762,"ML 2000","Mulching Frame 20B"
1763,"ML 1001","Gear Box Housing Jagdeo Type"
1764,"ML 2002","Saw Plate Large"
1765,"ML 2003","Saw Plate Small"
1766,"ML 2101","Mulching Roller Flange"
1767,"ML 2101","Roller Flange"
1768,"ML 3000","Pully Cover"
1769,"ML 4101","Square Elbow"
1770,"ML 4102","Side Plate Patta"
1771,"ML 4201A","Top Link LH"
1772,"ML 4201B","Top Link RH"
1773,"ML 4203","Top Link Bush"
1774,"ML 5000A","Door Assembly 18B"
1775,"ML 5000","Door Assembly 16B"
1776,"ML 5001","Door Hinge Pin"
1777,"ML 6000A","Rotary Assembly 18B"
1778,"ML 6000","Rotary Assembly 16B"
1779,"Ml 6003","Flail Hammer Blade"
1780,"ML 7001A","Roller Long 18B"
1781,"ML 7001","Roller Long 16B"
1782,"ML 7002","Roller Small"
1783,"ML 7003A","Long Roller Support LH"
1784,"ML 7003B","Long Roller Support RH"
1785,"ML 7004","Roller L Angle 16B"
1786,"ML 7004","Roller L Angle 18B"
1787,"ML 7004","Roller L Angle 20B"
1788,"ML 7005","Depth Skit"
1789,"ML 7006A","Flap Rod 18B"
1790,"ML 7006","Flap Rod 16B"
1791,"ML 7007A",Flap
1792,"ML 7007",Flap
1793,"ML 8010","Gear Box Adj Bar"
1794,"ML 8016","Grease Nipple Cover"
1795,"ML 8504","Door Bush"
1796,"ML 8601","A Rotor Pipe 18B"
1797,"ML 8601","Rotor Pipe 16B"
1798,"ML 8602","Mulching Roller Shaft RH"
1799,"ML 8603","Mulching Roller Shaft LH"
1800,"ML 8604","Mulching Roller Cup A"
1801,"ML 8701A","Mover Roller Pipr Large 18B"
1802,"ML 8701","Mover Roller Pipe Large 16B"
1803,"ML 8703","Mover Roller Pipe"
1804,"ML 8704","Mover Roller Side Plate"
1805,"ML 8705","Mover Roller Bush"
1806,"ML 8707","Leveller Support Bush"
1807,"ML 9101","Mover Roller Bush"
1808,"ML 9101","Mover Roller Pipe"
1809,"ML 9111","Leveler Roller Pipe"
1810,"ML 9112","Levelar Roller Flange"
1811,"mL 9122","LR Adj Hand Bush"
1812,"ML 9131","Flap Cover Rod"
1813,"ML 9161","Back Cover Bush"
1814,"ML 9204","Mulcher Roller Shaft RH"
1815,"ML 9205","Mulcher Roller Shaft LH"
1816,"ML 9206","Mulching Roller Cup A"
1817,"ML 9206","Roller Cup A"
1818,"ML 9207","Roller Cup B"
1819,"ML 9401","Gear Pipe Flange Jagdeo Type"
1820,"ML 9402A","Gear Left Side Pipe Jagdeo Type 16B"
1821,"ML 9402","Gear Left Side Pipe Jagdeo Type 18B"
1822,"ML 9403","Gear Pipe Coupling Jagdeo Type"
1823,"ML 9406","Gear Height Adj Boult M16"
1824,"MLP 1007","Pinion Shaft Coupling MS OD60mm x 121mm"
1825,"MLP 2101","Roller Flange EN8 OD210mm x 65mm"
1826,"MLP 9101","Mover Roller Bush MS OD70 x 20mm"
1827,"MLP 9112","Levelar Roller Flange EN8 OD140mm x 91mm"
1828,"MLP 9131","Flap Cover Rod MS OD18mm x 1875mm"
1829,"MLP 9204","Mul Roll Shaft RH EN8D  OD65mm x 205mm"
1830,"MLP 9205","Mul Roll Shaft LH EN8D  OD65mm x 318mm"
1831,"MLP 9206","Roller Cup A MS OD150mm x 23mm"
1832,"MLP 9207","Roller Cup B MS OD150mm x 23mm"
1833,"MLP 9403","Gear Pipe Coupling MS OD100mm x 103mm"
1834,"Ms Scrap",Material
1835,"MS Square","Pipe 20 x 20 x 1.6mm"
1836,"Mulcher 518",Frame
1837,"Mulcher Hammer",
1838,"Oil Tank","Nut Small"
1839,"Pully 10x5.5","JFC Sprocket"
1840,"Pully 10x5",Wheel
1841,"PU Seal","28 x 38 x 7.3"
1842,"Rack Stand",
1843,"RF 1000","A Frame Assy 22B"
1844,"RF 1002","Pyramid Hand RH"
1845,"RF 1003","Dummy Side Plate"
1846,"RF 1004","Drive Side Plate Assy"
1847,"RF 1005","Gear Box Flanch Clamp"
1848,"RF 1007","Back Cover 22B"
1849,"RF 2001","Oil Hump Cover"
1850,"RF 2001","Oil Sump Cover"
1851,"RF 2002","Chain Adj Pin Big"
1852,"RF 2003","Chain Adj Pin Small"
1853,"RF 2006","Gear Box Housing"
1854,"RF 2009","Main Flange Hub Big"
1855,"RF 2015","A Main Flange Shaft 22B"
1856,"RF 3001","Depth Skit"
1857,"RF 3002","Side Chain Cover"
1858,"RF 3003","Depth Skit Adj Patta"
1859,"RF 3003","Frame Stand Holder Assy"
1860,"RF 3005","Back Side Cover"
1861,"RF 3005","Back Side Cover Assy"
1862,"RF 3006","A Rotary Flange Pipe Assy 22B"
1863,"RF 3006","Rotary Flange Pipe Assy 18B"
1864,"RF 3009","A Frame Stand Holder RH"
1865,"RF 3009","Frame Stand Holder LH"
1866,"RF 8006","Back Cover"
1867,"RF 8008","Pyramid Hand LH"
1868,"RF 8010","Drive Side Plate"
1869,"RF 8020","Rotavator Clamp Small"
1870,"RF 8021","Rotavator Clamp Big"
1871,"Roller Bush","30 Dia"
